Fecha;SMB;HML
30/4/18;0.000823809523809523;0.000738095238095238
31/5/18;0.00259090909090909;-0.00087727272727272
30/6/18;0.000857142857142857;-0.00061904761904761
31/7/18;-0.00071904761904761;0.0007
31/8/18;0.000769565217391304;-0.00118260869565217
30/9/18;-0.0009;-0.000405263157894736
31/10/18;-0.00193043478260869;0.00209565217391304
30/11/18;-0.000014285714285714;0.00857142857142863
31/12/18;-0.0010578947368421;-0.00067368421052631
31/1/19;0.00153809523809523;0.000295238095238096
28/2/19;0.00134210526315789;-0.00083684210526315
31/3/19;-0.0011047619047619;-0.00149047619047619
30/4/19;-0.000476190476190476;0.00149047619047619
31/5/19;-0.0003;-0.00066363636363636
30/6/19;0.00464999999999999;0.000145
31/7/19;-0.000568181818181818;0.000731818181818181
31/8/19;-0.00081363636363636;-0.00174090909090909
30/9/19;-0.000159999999999999;0.003835
31/10/19;0.00439130434782608;-0.000295652173913043
30/11/19;0.00067;-0.000459999999999999
31/12/19;0.000642857142857142;0.00132380952380952
